Cause,Type,Year,Data Redundancy, Total Deaths , Source , Page at Source , Source URL ,Teks,Teks2,Catatan
Abrasi Air Laut,Bencana Alam,2012,1, -   , Profil Kesehatan Indonesia Tahun 2012 ,Lampiran 3.38,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2012.pdf,Jumlah Korban Jiwa Akibat Abrasi Air Laut di RI Thn 2012 :: 0,Abrasi Air Laut Tahun 2012,
AIDS,Bencana Non Alam dan Penyakit,2000,1, 47 , Profil Kesehatan Indonesia Tahun 2004 ,78,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2000 :: 47,AIDS Tahun 2000,
AIDS,Bencana Non Alam dan Penyakit,2001,1, 99 , Profil Kesehatan Indonesia Tahun 2004 ,78,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2001 :: 99,AIDS Tahun 2001,
AIDS,Bencana Non Alam dan Penyakit,2002,1, 100 , Profil Kesehatan Indonesia Tahun 2004 ,78,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2004.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2002 :: 100,AIDS Tahun 2002,
AIDS,Bencana Non Alam dan Penyakit,2003,1, 261 , Profil Kesehatan Indonesia Tahun 2010 ,115,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2003 :: 261,AIDS Tahun 2003,
AIDS,Bencana Non Alam dan Penyakit,2004,1, 361 , Profil Kesehatan Indonesia Tahun 2010 ,115,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2010.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2004 :: 361,AIDS Tahun 2004,
AIDS,Bencana Non Alam dan Penyakit,2005,1, 509 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2005 :: 509,AIDS Tahun 2005,
AIDS,Bencana Non Alam dan Penyakit,2006,1, 635 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2006 :: 635,AIDS Tahun 2006,
AIDS,Bencana Non Alam dan Penyakit,2007,1, 788 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2007 :: 788,AIDS Tahun 2007,
AIDS,Bencana Non Alam dan Penyakit,2008,1, 711 , Profil Kesehatan Indonesia Tahun 2011 ,148,https://pusdatin.kemkes.go.id/download.php?file=download/pusdatin/profil-kesehatan-indonesia/profil-kesehatan-indonesia-2011.pdf,Jumlah Korban Jiwa Akibat AIDS di RI Thn 2008 :: 711,AIDS Tahun 2008,
